somme	pHash	dHash	aHash	soya	marche
46	18	28	9	/soya2/sourcing/img_soya/v3_25_Soya_3.0_grey_2_2e59cacb-6ebc-4f36-8a81-44478c9d4589.png	/soya_prix/imgs/comfysle_1.img
46	18	28	14	/soya/gallery/08.jpg	/soya2/sourcing/img_mkt/jty_knee_2.webp
46	20	26	17	/soya2/sourcing/img_soya/voy_04_9-Oreiller-de-Voyage-Ergonomique-Soya_img5.webp	/soya2/sourcing/img_mkt/comfy_3.img
46	20	26	17	/soya2/sourcing/img_soya/voy_05_9-Oreiller-de-Voyage-Ergonomique-Soya_img6.webp	/soya2/sourcing/img_mkt/comfy_3.img
46	20	26	17	/soya2/sourcing/img_soya/voy_06_9-Oreiller-de-Voyage-Ergonomique-Soya_img7.webp	/soya2/sourcing/img_mkt/comfy_3.img
46	20	26	21	/soya/gallery/04.jpg	/soya2/sourcing/img_mkt/mic_tnjk_11.webp
46	20	26	21	/soya/gallery/04.jpg	/soya2/sourcing/img_mkt/mic_tnjk_4.webp
46	20	26	21	/soya/gallery/04.jpg	/soya2/sourcing/img_mkt/mic_tnjk_7.webp
46	20	26	26	/soya/gallery/09.jpg	/soya2/sourcing/img_mkt/mic_jty_8.webp
46	20	26	28	/soya/gallery/20.jpg	/soya2/sourcing/img_mkt/jty_knee_4.webp
46	20	26	28	/soya/gallery/21.jpg	/soya2/sourcing/img_mkt/mic_jty_8.webp
46	20	26	32	/soya2/sourcing/img_soya/h3_15_7687678_1.png	/soya_prix/imgs/zamatsle_3.img
46	22	24	13	/soya/gallery/19.jpg	/soya_prix/imgs/zamatsle_3.img
46	22	24	15	/soya/gallery/33.jpg	/soya2/sourcing/img_mkt/comfy_6.img
46	22	24	15	/soya2/sourcing/img_soya/v3_00_18.png	/soya2/sourcing/img_mkt/mic_jty_3.webp
46	22	24	15	/soya2/sourcing/img_soya/v3_36_34.png	/soya2/sourcing/img_mkt/mic_jty_3.webp
46	22	24	22	/soya2/sourcing/img_soya/enf_02_KIDSP1_6.png	/soya_prix/imgs/somnilys_0.img
46	22	24	24	/soya2/sourcing/img_soya/voy_02_9-Oreiller-de-Voyage-Ergonomique-Soya_img3.webp	/soya_prix/imgs/htconfort_2.img
46	22	24	27	/soya2/sourcing/img_soya/v2_01_1-oreiller-soya-2_0_img2_7d72b6af-35c7-4427-8f15-843f227d977	/soya2/sourcing/img_mkt/confal_1.img
46	22	24	27	/soya2/sourcing/img_soya/v2_01_1-oreiller-soya-2_0_img2_7d72b6af-35c7-4427-8f15-843f227d977	/soya_prix/imgs/confortalign_1.img
46	22	24	28	/soya2/sourcing/img_soya/enf_18_KIDS_YELLOW_2.png	/soya2/sourcing/img_mkt/confal_3.img
46	22	24	28	/soya2/sourcing/img_soya/henf_05_KIDS_YELLOW_2.png	/soya2/sourcing/img_mkt/confal_3.img
46	22	24	32	/soya2/sourcing/img_soya/enf_14_KIDS_YELLOW_6.jpg	/soya2/sourcing/img_mkt/mic_jty_12.webp
46	22	24	47	/soya2/sourcing/img_soya/lomb_02_4-Coussin_Lombaire_Ergonomique_Soya_img3.webp	/soya_prix/imgs/comfysle_2.img
46	24	22	13	/soya/gallery/35.jpg	/soya2/sourcing/img_mkt/mic_jty_3.webp
46	24	22	21	/soya2/sourcing/img_soya/h2_01_2-housse_Oreiller_de_Rechange_Soya_img4.webp	/soya_prix/imgs/inphysio_2.img
46	24	22	21	/soya2/sourcing/img_soya/v2_03_1-oreiller-soya-2_0_img4_39d31902-82e0-42b3-a8cb-6b71e2ebfe7	/soya_prix/imgs/inphysio_2.img
46	24	22	22	/soya2/sourcing/img_soya/voy_03_9-Oreiller-de-Voyage-Ergonomique-Soya_img4.webp	/soya2/sourcing/img_mkt/confal_1.img
46	24	22	22	/soya2/sourcing/img_soya/voy_03_9-Oreiller-de-Voyage-Ergonomique-Soya_img4.webp	/soya_prix/imgs/confortalign_1.img
46	24	22	29	/soya/gallery/16.jpg	/soya_prix/imgs/htconfort_0.img
46	24	22	32	/soya/gallery/09.jpg	/soya_prix/imgs/zamatsle_0.img
46	24	22	32	/soya/gallery/21.jpg	/soya_prix/imgs/zamatsle_0.img
46	24	22	38	/soya2/sourcing/img_soya/v3_35_SOYA_3.0_Grey_1.jpg	/soya2/sourcing/img_mkt/jty_p6036_4.webp
46	26	20	19	/soya2/sourcing/img_soya/v2_01_1-oreiller-soya-2_0_img2_7d72b6af-35c7-4427-8f15-843f227d977	/soya_prix/imgs/inphysio_2.img
46	26	20	33	/soya2/sourcing/img_soya/enf_20_KIDS_YELLOW_5.png	/soya2/sourcing/img_mkt/confal_2.img
46	26	20	33	/soya2/sourcing/img_soya/enf_20_KIDS_YELLOW_5.png	/soya_prix/imgs/confortalign_2.img
46	26	20	33	/soya2/sourcing/img_soya/h3_13_Soya_3.0_Grey_2.png	/soya_prix/imgs/zamatsle_3.img
